name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Standing LP,4,13,7,4,0,1,2,5,-5,-1,21,11,15
Standing MP,6,26,9,13,0,2,4,-3,-13,-9,26,16,20
Standing HP,9,32,7,19,0,3,6,1,-1,1,31,29,31
Standing LK,5,21,7,4,0,1,2,-2,-12,-8,21,11,15
Standing MK,7,28,7,13,0,2,4,-2,-12,-8,26,16,20
Standing HK,9,33,7,19,0,3,6,0,-2,0,31,29,31
Crouching LP,5,14,7,3,0,1,1,5,-5,-1,21,11,15
Crouching MP,6,19,7,12,0,2,4,6,-4,0,26,16,20
Crouching HP,8,33,7,18,0,3,6,-1,-8,-5,31,24,27
Crouching LK,5,14,7,4,0,1,1,5,-,-1,21,-,15
Crouching MK,6,20,7,12,0,2,4,5,-,-1,26,-,20
Crouching HK,10,37,7,18,0,3,6,-,-,-3,-,-,31
KNIFE Nightmare,24,43,7,19,0,3,6,0,-10,-,26,16,-
DEATH Spinkick,18,35,7,15,0,2,4,2,-8,-4,26,16,20
jump,frames,EX Arrow,,,,,,,,,,,
Neutral Jump,42,41～44,,,,,,,,,,,
Forward jump,41,42～46,,,,,,,,,,,
Back jump,43,41～44,,,,,,,,,,,
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Jumping LP,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MP,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HP,5,-,9,21,0,3,6,15,13,-,26,24,-
Jumping LK,5,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MK,4,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HK,7,-,9,21,0,3,6,15,13,-,26,24,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Hard Attack (MP+MK),28,71,7,17,0,3,6,-13,-34,4,37,16,54
Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Back Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
DARK Wire (L),11,46,0,5,3,1,3,-,-24,-20,-,11,15
DARK Wire (M),11,46,0,5,3,1,3,-,-24,-20,-,11,15
DARK Wire (H),11,46,0,5,3,1,3,-,-24,-20,-,11,15
,,Total frames on hit,,,,,,,,,,,
DARK Wire (L),-,48,-,-,3,-,-,-,-,-,-,-,-
DARK Wire (M),-,52,-,-,3,-,-,-,-,-,-,-,-
DARK Wire (H),-,60,-,-,3,-,-,-,-,-,-,-,-
,,Total frames on whiff,,,,,,,,,,,
DARK Spark,-,-,-,17,0,-,2,-,-,-,-,-,-
DARK Hold,-,-,-,0,-,-,-,-,-,-,-,-,-
DARK Defender (L),11,46,0,8,4,1,2,-,-6,-,-,29,-
DARK Defender (M),11,46,0,8,4,1,2,-,-6,-,-,29,-
DARK Defender (H),11,46,0,8,4,1,2,-,-6,-,-,29,-
,,Total frames on hit,,,,,,,,,,,
DARK Defender (L),-,56,-,-,4,-,-,-,-,-,-,-,-
DARK Defender (M),-,60,-,-,4,-,-,-,-,-,-,-,-
DARK Defender (H),-,65,-,-,4,-,-,-,-,-,-,-,-
,,Total frames on whiff,,,,,,,,,,,
EX-Plosive (L),13,45,0,15,4,2,4,-1,-8,-5,31,24,27
EX-Plosive (M),13,45,0,15,4,2,4,-1,-8,-5,31,24,27
EX-Plosive (H),13,45,0,15,4,2,4,-1,-8,-5,31,24,27
name,startup,,total,damage,,meter gain,,,,,,,
,"before
freeze","after
freeze",,,,whiff,blo,hit,,,,,
DARK Knife,3,2,96,"5*3,8,8,10",,0,1,1,,,,,
DARK Shackle,5,3,100,"5,5,5,6,6,6
8,8,25",0,1,1,,,,,,
EX-Prominence,7,33,49,34,,0,1,1,,,,,
