name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Standing LP,4,13,7,4,0,1,2,5,-5,-1,21,11,15
Standing MP,7,25,7,13,0,2,4,1,-9,-5,26,16,20
Standing HP,9,30,7,19,0,3,6,3,1,3,31,29,31
Standing LK,5,21,7,4,0,1,2,-2,-12,-8,21,11,15
Standing MK,7,24,7,13,0,2,4,2,-8,-4,26,16,20
Standing HK,11,34,7,19,0,3,6,1,-1,1,31,29,31
Crouching LP,5,14,7,3,0,1,1,5,-5,-1,21,11,15
Crouching MP,6,19,7,12,0,2,4,6,-4,0,26,16,20
Crouching HP,7,38,7,19,0,3,6,-7,-14,-11,31,24,27
Crouching LK,5,18,7,3,0,1,1,1,-,-5,21,-,15
Crouching MK,6,21,7,12,0,2,4,4,-,-2,26,-,20
Crouching HK,7,33,7,18,0,3,6,-,-,-2,,-,31
Enrakushisho,31,61,7,19,0,3,6,0,-13,-,37,24,-
jump,frames,EX Arrow,,,,,,,,,,,
Neutral Jump,44,41～44,,,,,,,,,,,
Forward jump,43,42～46,,,,,,,,,,,
Back jump,45,41～44,,,,,,,,,,,
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Jumping LP,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MP,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HP,5,-,9,21,0,3,6,15,13,-,26,24,-
Jumping LK,5,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MK,7,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HK,7,-,9,21,0,3,6,15,13,-,26,24,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Hard Attack (MP+MK),28,71,7,22,0,3,6,-13,-34,4,37,16,54
Throw,3,35,-,"6,6,5,12",0,-,7,-,-,-,-,-,-
Back Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Air Throw,3,-,-,34,0,-,7,-,-,-,-,-,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Kamaitachi (L),8,37,7,19,4,2,4,1,-7,-5,37,29,31
Kamaitachi (M),12,44,7,19,4,2,4,-2,-10,-8,37,29,31
Kamaitachi (H),18,81,7,19,4,2,4,-,-,-39,-,-,31
Oborozuki(Single) (L),7,34,7,5,3,1,2,-3,-5,-3,31,29,31
Oborozuki(Single) (M),"7,10",40,"7,2","5,5",3,1,2,-1,-8,-5,31,24,27
Oborozuki(Single) (H),"8,10,12",46,"5,2,2","5,5,5",3,2,3,1,-12,-9,37,24,27
Oborozuki(追加) (L),9,55,7,12,0,4,8,-,-24,-22,-,29,31
Oborozuki(追加) (M),9,55,7,12,0,4,8,-,-24,-22,-,29,31
Oborozuki(追加) (H),9,55,7,12,0,4,8,-,-24,-22,-,29,31
Hisenzan (L),5,56,7,17,6,2,4,-,-29,-27,,29,31
Hisenzan (M),5,60,7,21,6,2,4,-,-33,-31,,29,31
Hisenzan (H),5,64,7,21,6,2,4,-,-37,-35,,29,31
Jyouwankei (L),6,57,-,-,2,-,10,-,-,-,-,-,-
Jyouwankei (M),6,62,-,-,2,-,10,-,-,-,-,-,-
Jyouwankei (H),6,67,-,-,2,-,10,-,-,-,-,-,-
(派生) Jyouwankei,"18,21,24",51,0,"5,5,8",0,0,0,-,-16,-12,-,11,15
name,startup,,total,damage,meter gain,,,,,,,,
,"before
freeze","after
freeze",,,whiff,blo,hit,,,,,,
Resshinkamaitachi,6,16,157,"6,6,6,6,11,17",0,1,1,,,,,,
Raizanshou,4,6,103,"21,12,8,8,8",0,1,1,,,,,,
