name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Standing LP,4,12,7,4,0,1,2,6,-4,0,21,11,15
Standing MP,6,24,7,13,0,2,4,1,-9,-5,26,16,20
Standing HP,8,31,7,19,0,3,6,1,-1,1,31,29,31
Standing LK,5,21,7,4,0,1,2,-2,-12,-8,21,11,15
Standing MK,11,27,7,13,0,2,4,3,-7,-3,26,16,20
Standing HK,9,32,7,19,0,3,6,1,-1,1,31,29,31
Crouching LP,5,14,7,3,0,1,1,5,-5,-1,21,11,15
Crouching MP,6,19,7,12,0,2,4,6,-4,0,26,16,20
Crouching HP,9,37,7,18,0,3,6,-4,-11,-8,31,24,27
Crouching LK,5,16,7,3,0,1,1,3,-,-3,21,-,15
Crouching MK,7,21,7,12,0,2,4,5,-,-1,26,-,20
Crouching HK,10,47,7,18,0,3,6,-,-,-13,-,-,31
Gai-Shu,14,40,7,15,0,2,4,-2,-4,-2,31,29,31
jump,frames,EX Arrow,,,,,,,,,,,
Neutral Jump,40,41～44,,,,,,,,,,,
Forward jump,39,42～46,,,,,,,,,,,
Back jump,41,41～44,,,,,,,,,,,
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Jumping LP,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MP,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HP,5,-,9,21,0,3,6,15,13,-,26,24,-
Jumping LK,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MK,4,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HK,7,-,9,21,0,3,6,15,13,-,26,24,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Hard Attack (MP+MK),28,71,7,23,0,3,6,-13,-34,4,37,16,54
Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Back Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Chugeki-Hoh (L),14,48,2,8,3,1,2,-10,-7,-5,26,29,31
Chugeki-Hoh (M),17,51,2,8,3,1,2,-10,-12,-9,26,24,27
Chugeki-Hoh (H),20,54,2,8,3,1,2,-10,-12,-9,26,24,27
(派生)Shogekiha (L),20,45,7,12,0,1,3,-,-3,-1,-,29,31
(派生)Shogekiha (M),20,51,7,13,0,1,3,-,-9,-7,-,29,31
(派生)Shogekiha (H),20,53,8,15,0,1,3,-,-12,-10,-,29,31
(派生)Chu-Hoh (L),34,64,7,23,0,1,3,0,-13,-,37,24,-
(派生)Chu-Hoh (M),34,64,7,23,0,1,3,0,-13,-,37,24,-
(派生)Chu-Hoh (H),34,64,7,23,0,1,3,0,-13,-,37,24,-
(派生)Shingai-Kyaku (L),19,51,7,11,0,1,3,-2,-,-12,37,-,27
(派生)Shingai-Kyaku (M),19,51,7,11,0,1,3,-2,-,-12,37,-,27
(派生)Shingai-Kyaku (H),19,51,7,11,0,1,3,-,-,-12,-,-,27
Shorin-Geki (L),8,38,7,17,3,2,4,-,-8,-6,-,29,31
Shorin-Geki (M),8,42,7,17,3,2,4,-,-12,-10,-,29,31
Shorin-Geki (H),8,45,7,17,3,2,4,-,-15,-13,-,29,31
Shinkyaku-Geki (L),24,54,7,11,3,2,4,0,-,-10,37,-,27
Shinkyaku-Geki (M),26,56,7,12,3,2,4,-,-,-10,-,-,27
Shinkyaku-Geki (H),27,57,7,12,3,2,4,-,-13,-10,-,24,27
Shin (LL) / (LM) / (LH),33 / 34 / 36,,-,0,0,-,-,-,-,-,-,-,-
Shin (ML) / (MM) / (MH),35 / 35 / 36,,-,0,0,-,-,-,-,-,-,-,-
Shin (HL) / (HM) / (HH),37 / 37 / 37,,-,0,0,-,-,-,-,-,-,-,-
Katachi (L),3,48,-,-,2,-,3,-,-,-,-,-,-
Katachi (M),4,59,-,-,2,-,3,-,-,-,-,-,-
Katachi (H),5,70,-,-,2,-,3,-,-,-,-,-,-
(派生) Upper attack,15,55,0,29,0,2,5,-,-11,-9,-,29,31
(派生) Lower attack,21,43,7,21,0,2,4,2,-,-2,31,-,27
Ryusui,3,35,-,0,2,-,4,7,-,-,-,-,-
name,startup,,total,damage,meter gain,,,,,,,,
,"before
freeze","after
freeze",,,whiff,blo,hit,,,,,,
Kiren-Eki (No charge),4,1,62,"8,5,5,34",0,1,1,,4Hit,,,,
Kiren-Eki (Full charge),4,1,121,"8,5*9
5*6,34",0,1,1,,17Hit,,,,
"Kiren-Eki (No charge)
(projectile part)",4,8,62,"2,5,5,34",0,1,1,,4Hit,,,,
"Kiren-Eki (Full charge)
(projectile part)",4,67,121,"2,5*5,34",0,1,1,,7Hit,,,,
Kyakuhougi ,6,9,116,"15,10*3,16",0,1,1,,,,,,
Rensho-Geki,6,7,68,"6,8",0,1,1,,,,,,
Renbu,3,8,42,60,0,-,1,,,,,,
