name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Standing LP,4,13,7,4,0,1,2,5,-5,-1,21,11,15
Standing MP,6,26,7,13,0,2,4,-1,-11,-7,26,16,20
Standing HP,8,30,7,19,0,3,6,2,0,2,31,29,31
Standing LK,5,21,7,4,0,1,2,-2,-12,-8,21,11,15
Standing MK,9,24,7,13,0,2,4,4,-6,-2,26,16,20
Standing HK,11,34,7,19,0,3,6,1,-1,1,31,29,31
Crouching LP,5,14,7,3,0,1,1,5,-5,-1,21,11,15
Crouching MP,6,19,7,12,0,2,4,6,-4,0,26,16,20
Crouching HP,7,33,7,18,0,3,6,-2,-9,-6,31,24,27
Crouching LK,5,18,7,3,0,1,1,1,-,-5,21,-,15
Crouching MK,6,21,7,12,0,2,4,4,-,-2,26,-,20
Crouching HK,7,33,7,18,0,3,6,-,-,-2,-,-,31
Step In Upper,15,43,7,15,0,2,4,-9,-19,-15,26,16,20
Dangerous Heel,23,49,7,19,0,2,4,-2,-17,-,31,16,-
jump,frames,EX Arrow,,,,,,,,,,,
Neutral Jump,44,41～44,,,,,,,,,,,
Forward jump,43,42～46,,,,,,,,,,,
Back jump,45,41～44,,,,,,,,,,,
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Jumping LP,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MP,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HP,5,-,9,21,0,3,6,15,13,-,26,24,-
Jumping LK,5,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MK,4,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HK,7,-,9,21,0,3,6,15,13,-,26,24,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Hard Attack (MP+MK),28,71,7,23,0,3,6,-13,-34,4,37,16,54
Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Back Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Air Throw,3,-,-,34,0,-,7,-,-,-,-,-,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Skullo Crusher (L) ,18,51,7,21,2,2,4,-3,-11,-9,37,29,31
Skullo Crusher (M),18,51,7,21,2,3,6,-3,-11,-9,37,29,31
Skuller Crusher (H),18,51,7,21,2,3,6,-3,-11,-9,37,29,31
Skullo Head (L),5,63,7,12 or 17,6,2,4,-28,-54,-50,37,11,15
Skullo Head (M),5,71,7,12 or 21,6,2,4,-,-62,-58,-,11,15
Skullo Head (H),5,79,7,12 or 25,6,2,4,-,-70,-66,-,11,15
"Skullo Dive(1st Half)
(L)",32,"ヒ: 93
ガ: 71",6,21,0,1,2,-,-16,-14,-,29,31
"Skullo Dive(1st Half)
(L)","37
s.blo: 38
c.blo: 42","hit: 101
s.blo: 79
c.blo: 82",6,21,0,1,2,-,-18,-15,-,29,31
"Skullo Dive(1st Half)
(L)","41
s.blo: 49
c.blo: 53","hit: 110
s.blo: 91
c.blo: 93",6,21,0,1,2,-,-19,-15,-,29,31
"Skullo Dive(After)
(L)",93,7,17,0,1,2,-,-,-,-,-,31
"Skullo Dive(After)
(M)",,101,7,17,0,1,2,-,-,-,-,-,31
"Skullo Dive(After)
(H)",,110,7,17,0,1,2,-,-,-,-,-,31
Skullo Slider (L),11,77,7,19,2,2,4,-,-,-58,-,-,15
Skullo Slider (M),11,77,7,19,2,2,4,-,-,-58,-,-,15
Skullo Slider (H),11,77,7,19,2,2,4,-,-,-58,-,-,15
Skullo Tkachyov (L),47,74,-,34,3,-,3,-,-,-,-,-,-
Skullo Tkachyov (M),47,74,-,34,3,-,3,-,-,-,-,-,-
Skullo Tkachyov (H),47,74,-,34,3,-,3,-,-,-,-,-,-
Skullo Shock (L),-,65～,-,-,-,-,-,-,-,-,-,-,-
Skullo Shock (M),-,65～,-,-,-,-,-,-,-,-,-,-,-
Skullo Shock (H),-,65～,-,-,-,-,-,-,-,-,-,-,-
name,startup,,total,damage,meter gain,,,,,,,,
,"before
freeze","after
freeze",,,whiff,blo,hit,,,,,,
Super Skullo Crush,9,9,93,"10,12,10,12,16",0,2,2,,,,,,
Super Skullo Crush (Air）,6,8,89,"12,8,12,8,12",0,2,2,,,,,,
Super Skullo Slider,10,5,111,"6*7,17",0,3,3,,,,,,
Skullo Barrier ,6,7,58,34,0,1,1,,,,,,
Skullo Ball,6,-,59,17*3,0,3,3,,,,,,
Skullo Dream,5,10,43,60,0,-,1,,,,,,
