name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Standing LP,4,13,7,4,0,1,2,5,-5,-1,21,11,15
Standing MP,6,24,7,13,0,2,4,1,-9,-5,26,16,20
Standing HP,12,39,7,19,0,3,6,-3,-5,-3,31,29,31
Standing LK,5,17,7,4,0,1,2,2,-8,-4,21,11,15
Standing MK,9,29,7,13,0,2,4,-1,-11,-7,26,16,20
Standing HK,8,34,7,19,0,3,6,-2,-4,-2,31,29,31
Crouching LP,5,18,7,3,0,1,1,1,-9,-5,21,11,15
Crouching MP,6,19,7,12,0,2,4,6,-4,0,26,16,20
Crouching HP,8,30,7,18,0,3,6,2,0,2,31,29,31
Crouching LK,5,18,7,3,0,1,1,1,-,-5,21,-,15
Crouching MK,8,26,7,12,0,2,4,1,-,-5,26,-,20
Crouching HK,11,43,7,18,0,3,6,-,-,-8,-,-,31
jump,frames,EX Arrow,,,,,,,,,,,
Neutral Jump,49,43～46,,,,,,,,,,,
Forward jump,48,44～48,,,,,,,,,,,
Back jump,50,43～46,,,,,,,,,,,
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Jumping LP,4,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MP,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HP,5,-,9,21,0,3,6,15,13,-,26,24,-
Jumping LK,5,-,9,5,0,1,2,15,5,-,26,16,-
Jumping MK,5,-,9,15,0,2,4,15,13,-,26,24,-
Jumping HK,8,-,9,21,0,3,6,15,13,-,26,24,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Hard Attack (MP+MK),28,71,7,22,0,3,6,-13,-21,4,37,29,54
Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Back Throw,3,35,-,29,0,-,7,-,-,-,-,-,-
Air Throw,3,-,-,34,0,-,7,-,-,-,-,-,-
name,startup,total,"hit
stop",damage,meter gain,,,frame advantage,,,stun,,
,,,,,whiff,blo,hit,hit,s.blo,c.blo,hit,s.blo,c.blo
Lariat (L),14,39,7,19,4,1,3,-1,-3,-1,31,29,31
Lariat (M 1st attack),12,39,7,11,4,1,2,-,-18,-14,-,16,20
Lariat (M 2nd attack),39,63,7,11,0,1,2,-,-2,0,-,29,31
Lariat (H 1st attack),12,39,7,11,4,1,2,-,-18,-14,-,16,20
Lariat (H 2nd attack),39,61,7,12,0,1,2,-,0,2,-,29,31
Ganges DDT (L),25,45,-,39,4,-,4,-,-,-,-,-,-
Ganges DDT (M),25,50,-,39,4,-,4,-,-,-,-,-,-
Ganges DDT (H),25,56,-,39,4,-,4,-,-,-,-,-,-
Brahma Bomb (L),3,41,-,55,2,-,10,-,-,-,-,-,-
Brahma Bomb (M),3,41,-,55,2,-,10,-,-,-,-,-,-
Brahma Bomb (H),3,41,-,55,2,-,10,-,-,-,-,-,-
Indra Bridge (L),3,41,-,"29,17",2,-,9,-,-,-,-,-,-
Indra Bridge (M),3,41,-,"29,17",2,-,9,-,-,-,-,-,-
Indra Bridge (H),3,41,-,"29,17",2,-,9,-,-,-,-,-,-
Darun Catch (L),6,26,-,38,2,-,7,-,-,-,-,-,-
Darun Catch (M),6,32,-,38,2,-,7,-,-,-,-,-,-
Darun Catch (H),6,38,-,38,2,-,7,-,-,-,-,-,-
Daikaku,2,30,8,0,1,-,9,-,-,-,-,-,-
Jouju,13,44,7,5,1,4,8,-,-22,-18,-,16,20
name,startup,,total,damage,meter gain,,,,,,,,
,"before
freeze","after
freeze",,,whiff,blo,hit,,,,,,
Twilight Lariat,10,3,142,12*5,0,1,1,,,,,,
Power Indra Bridge,10,7,99,15,0,1,1,,,,,,
Super Darun Bomb,1,0,41,68,0,-,1,,,,,,
